CEP,longitude,latitude,uf
29906010,0.0,0.0,
29760000,0.0,0.0,
29665000,-40.6955747,-19.7234229,ES
29146000,0.0,0.0,
29146970,0.0,0.0,
29903620,-40.0389348,-19.4005068,ES
29940330,0.0,0.0,
29943690,-39.890854600000004,-18.7232355,ES
29163392,-40.2652935,-20.223262100000003,ES
29030026,0.0,0.0,
29153065,-40.3660447,-20.3094141,ES
29590000,-41.740739399999995,-20.5915712,ES
29309090,0.0,0.0,
29153365,0.0,0.0,
29308250,-41.11921629999999,-20.8426155,ES
29300002,0.0,0.0,
29305060,-41.1091474,-20.8580098,ES
29178400,-40.2904551,-20.1333291,ES
29880000,0.0,0.0,
29119730,0.0,0.0,
29172135,-40.2048342,-20.1774014,ES
29047680,-40.3067886,-20.3000612,ES
29700010,-40.6277834,-19.535025,ES
29702170,-40.633109499999996,-19.5436443,ES
29850000,-40.71585700000001,-18.3772551,ES
29190018,-40.2716792,-19.8265658,ES
29905140,-40.0506534,-19.365513399999998,ES
29903130,-40.047769200000005,-19.3959704,ES
29904190,0.0,0.0,
29906530,-40.0471283,-19.3551128,ES
29903480,0.0,0.0,
29931220,-39.867716200000004,-18.7162658,ES
29314050,-41.1798274,-20.830100199999997,ES
29305760,-41.093189,-20.849011800000003,ES
29309460,-41.122677,-20.8245793,ES
29304700,0.0,0.0,
29312253,0.0,0.0,
29309253,-41.11009139999999,-20.8379635,ES
29305330,0.0,0.0,
29300580,-41.1265308,-20.8460425,ES
29312536,0.0,0.0,
29310348,-41.153735600000005,-20.843764800000002,ES
29311030,0.0,0.0,
29140010,-40.356544299999996,-20.3356116,ES
29176240,0.0,0.0,
29154550,-40.3912049,-20.3037445,ES
29105155,-40.3100454,-20.3621499,ES
29135000,-40.49236079999999,-20.4045005,ES
29200220,-40.4957005,-20.6692545,ES
29931140,-39.8628946,-18.719325,ES
29112250,0.0,0.0,
29125330,0.0,0.0,
29120320,-40.31731729999999,-20.3366664,ES
29140700,0.0,0.0,
29118480,-40.3339662,-20.3472355,ES
29161845,-40.2792614,-20.2300687,ES
29650000,-40.5940565,-19.8486906,ES
29102200,0.0,0.0,
29105161,-40.312531799999995,-20.3677046,ES
29141854,-40.3947894,-20.3724579,ES
29104630,0.0,0.0,
29032540,-40.3213847,-20.2742115,ES
29113230,-40.345366,-20.3752744,ES
29125010,0.0,0.0,
29052908,0.0,0.0,
29170010,0.0,0.0,
29045140,0.0,0.0,
29176000,0.0,0.0,
29140070,-40.3611961,-20.3365551,ES
29070170,-40.290752600000005,-20.2722432,ES
